mate_code,mate_name,shopNumber,baemin_name,status
1047582,육식사관학교 울산울주점,14790540,육식사관학교 울산울주점,matched
1047726,육식사관학교 오천문덕점,14790329,육식사관학교 오천문덕점,matched
1047929,육식사관학교 아산모종점,14794609,육식사관학교 아산모종점,matched
1048152,육식사관학교 청주오창점,14793808,육식사관학교 청주오창점,matched
1048180,육식사관학교포항남구점,14794395,육식사관학교 포항남구점,matched
1048264,육식사관학교충주호암점,14789634,김삼구 충주호암점,matched
1048279,육식사관학교원주단계점,14797472,육식사관학교 원주단계점,matched
1048313,육식사관학교김포고촌점,14798778,육식사관학교 김포고촌점,matched
1048319,육식사관학교진해자은점,14799069,육식사관학교 진해자은점,matched
1048321,육식사관학교의정부민락점,14800176,육식사관학교 의정부민락점,matched
1048512,육식사관학교쌍문점,14796342,육식사관학교 쌍문점,matched
1049044,육식사관학교 대구남산점,14725793,육식사관학교 대구남산점,matched
1049516,육식사관학교 수원영화점,14742893,육식사관학교 수원영화점,matched
1049589,육식사관학교화도점,14806607,육식사관학교 화도점,matched
1049879,육식사관학교김해북부점,14807943,육식사관학교 김해북부점,matched
1049986,육식사관학교마산내서점,14809549,육식사관학교 마산내서점,matched
1049993,육식사관학교인천검암점,14809632,육식사관학교 인천검암점,matched
1050237,육식사관학교대구성서점,14811350,육식사관학교 대구성서점,matched
1050422,육식사관학교 고양삼송점,14814134,육식사관학교 고양삼송점,matched
1051683,육식사관학교분당야탑점,14820129,육식사관학교 분당야탑점,matched
1051725,육식사관학교미아점,14819837,육식사관학교 미아점,matched
1051786,육식사관학교춘천석사점,14819647,육식사관학교 춘천석사점,matched
1051809,육식사관학교김제신풍점,14816165,육식사관학교 김제신풍점,matched
1051812,육식사관학교용인김량장점,14820141,육식사관학교 용인김량장점,matched
1051826,육식사관학교 목포 남악점,14776622,육식사관학교 목포남악점,matched
1052044,육식사관학교화성향남점,14823221,육식사관학교 화성향남점,matched
1052927,육식사관학교화성봉담점,14826193,육식사관학교 화성봉담점,matched
1052928,육식사관학교 평택안중점,14826198,육식사관학교 평택안중점,matched
1052930,육식사관학교화순점,14825486,육식사관학교 화순점,matched
1052931,육식사관학교대전관저점,14826156,육식사관학교 대전관저점,matched
1053017,육식사관학교 청주용암점,14823284,육식사관학교 청주용암점,matched
1053208,육식사관학교만성혁신점,14830336,육식사관학교 만성혁신점,matched
1053302,육식사관학교 원주단구점,14831106,육식사관학교 원주단구점,matched
1053305,육식사관학교광양읍점,14831159,육식사관학교 광양읍점,matched
1053415,육식사관학교부산명지점,14830349,육식사관학교 부산명지점,matched
1053534,육식사관학교강릉용강점,14838772,육식사관학교 강릉용강점,matched
1054637,육식사관학교 시지경산점,14838329,육식사관학교 시지경산점,matched
1054806,육식사관학교성신여대점,14839262,육식사관학교 성신여대점,matched
1055110,육식사관학교파주운정점,14841982,육식사관학교 파주운정점,matched
1055250,육식사관학교울산매곡점,14844407,육식사관학교 울산매곡점,matched
1055345,육식사관학교울산남목점,14845157,육식사관학교 울산남목점,matched
1055778,육식사관학교정읍점,14848559,육식사관학교 정읍점,matched
1055874,육식사관학교광주태전점,14848247,육식사관학교 광주태전점,matched
1055914,육식사관학교동두천점,14849019,육식사관학교 동두천점,matched
1056591,육식사관학교인천논현점,14852338,육식사관학교 인천논현점,matched
1056808,육식사관학교전남장성점,14854965,육식사관학교 전남장성점,matched
1056881,육식사관학교오산대점,14856185,육식사관학교 오산대점,matched
1057186,육식사관학교 진접오남점,14859826,육식사관학교 진접오남점,matched
1057198,육식사관학교 의정부점,14766438,육식사관학교 의정부점,matched
1057398,육식사관학교남양읍점,14862175,육식사관학교 남양읍점,matched
1057868,육식사관학교남원점,14874513,육식사관학교 남원점,matched
1057893,육식사관학교분당정자점,14866401,육식사관학교 분당정자점,matched
1057941,육식사관학교 안양인덕원점,14875076,육식사관학교 안양인덕원점,matched
1058229,육식사관학교용인상현점,14873867,육식사관학교 용인상현점,matched
1058231,육식사관학교두정점,14875184,육식사관학교 두정점,matched
